NODE_1_length_5614_cov_179.644753_cutoff_118,Chromosome,--
NODE_1_length_54314_cov_54.205542_cutoff_54,Chromosome,0,Phage_r1t_holin ZoocinA_TRD Amidase_5 Phage_cap_E Phage_GP20 DUF859 Prophage_tail PhageMin_Tail Flg_new Sigma70_r2 Phage_prot_Gp6 Toprim_2 SNF2_N Helicase_C DUF1366 Terminase_6 Vut_1 DNA_pol_A DNA_pol_A_exo1 Fer4_14 GTP_cyclohydroI PTPS Big_8 Collagen_bind Gram_pos_anchor QueC DnaB_C RecA RecA dUTPase DNA_pol3_delta2 DNA_pol3_delta2 DNA_pol3_delta2 DNA_pol3_gamma3 DNA_ligase_aden
NODE_2_length_1105_cov_41.611868_cutoff_54,Chromosome,0,DUF1963 DUF1963
NODE_1_length_51903_cov_5.347779_cutoff_10,Chromosome,-19.909849158699387,Glyco_transf_4 DUF4153 MS_channel bPH_2 bPH_2 DNA_pol3_alpha PHP DNA_pol3_finger DNA_pol3_alpha DEAD Helicase_C PHP SLH SLH He_PIG Y_Y_Y SLH HHH_6 Glycos_transf_1 MMR_HSR1 CLP_protease DNA_methylase DUF5011 DUF5011 FtsK_SpoIIIE FtsK_alpha FtsK_gamma Peptidase_M24 Phage_holin_4_2 VWA_2 VWA Peptidase_M48 tRNA-synt_1 tRNA-synt_1 His_Phos_1 His_Phos_1 Anticodon_1 YchF-GTPase_C Ser_hydrolase HlyD_3 Biotin_lipoyl_2 Biotin_lipoyl MazE_antitoxin Peptidase_M48 ACR_tran ACR_tran
NODE_2_length_42256_cov_20.707627_cutoff_10,Chromosome,0,NLPC_P60 Spherulin4 DUF3310 dUTPase Phage_H_T_join Phage_prot_Gp6 Phage_capsid Terminase_6 SNF2_N DUF3987 AAA_24 DUF669
NODE_3_length_15498_cov_18.735296_cutoff_10,Chromosome,0,PorP_SprF FolB CHU_C
NODE_4_length_13777_cov_11.047299_cutoff_10,Plasmid,6.42,YoeB_toxin PhdYeFM_antitox Toprim_2 Relaxase Resolvase DUF1269
NODE_5_length_6853_cov_12.843861_cutoff_10,Chromosome,0,DEDD_Tnp_IS110 MFS_1 ABATE zf-CGNR NAD_binding_10 Rrf2 Transposase_mut
NODE_1_length_54314_cov_54.205542_cutoff_0,Chromosome,0,DNA_pol_A DNA_pol_A_exo1 Sigma70_r2 DnaB_C Toprim_2 Prophage_tail Flg_new PhageMin_Tail Phage_prot_Gp6 Vut_1 GTP_cyclohydroI Fer4_14 PTPS Big_8 Collagen_bind Gram_pos_anchor QueC DNA_pol3_delta2 DNA_pol3_delta2 DNA_pol3_gamma3 DNA_pol3_delta2 dUTPase RecA RecA DNA_ligase_aden ZoocinA_TRD Amidase_5 SNF2_N Helicase_C DUF1366 DUF859 Phage_r1t_holin Phage_cap_E Phage_GP20 Terminase_6
NODE_2_length_40154_cov_54.580957_cutoff_0,Chromosome,0,HK97-gp10_like Mu-like_gpT Phage_Mu_F DUF2190 ParBc DUF3310 ANT Bro-N HTH_3 Phage_integrase YqaJ HTH_36 RecT PhageMin_Tail dUTPase Pectate_lyase_3 Collagen SSB Terminase_6C Terminase_6 Amidase_2
NODE_3_length_40051_cov_121.134137_cutoff_0,Chromosome,0,Sipho_Gp37 Sipho_tail Phage_holin_Dp1 Terminase_1 Peptidase_S78 Phage_capsid Phage_portal DUF2800 Pox_D5
